 ,1,5,10,15,20,25,30,35,40,45,50
MINOR-B,4.57311,24.38341,7.69902,8244.34919,4209.04333,8158.44917,6397.11022,7372.08197,6927.45276,8195.45673,7095.56072
MINOR-U,2.78879,8.23628,4.13913,4404.26444,2013.0316,4399.60116,3741.27975,4584.76634,4184.89234,4735.19931,4110.44886
VARX,2.77802,6.01749,2.11393,2.46804,1.95167,1.91527,1.98241,1.93157,1.97337,1.94684,1.88186
IMR,0.37514,0.48107,0.4635,5594.32677,3691.73335,5572.74802,5117.31252,5425.84458,4830.61163,4740.32504,5073.89364
MTCSC,10.04383,19,8.1,6.7,6.8,6.4,6.4,6.6,6.5,6.6,6.3
Akane,745.1728,770.5,715.5,695.2,691.7,669.4,679.6,670.4,674.1,674,659.3
