 ,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275
MINOR-B,4093.26514,6740.10539,10648.97699,14315.12251,18949.39588,24029.26165,29106.31852,36337.84944,43067.90654,53708.78033
MINOR-U,1595.56987,3278.29926,4570.48849,5752.63231,7208.1017,8584.23608,9916.22131,11871.61515,13368.50833,15324.51184
VARX,1.75969,1.88485,1.93505,1.85483,1.90536,1.79878,1.88488,1.90996,1.94392,1.95047
IMR,1282.71162,1897.9406,3089.93956,3786.67852,4160.88484,4657.87931,5402.06024,5853.79865,6678.33162,7255.14903
MTCSC,7,7.1,7.7,8.2,8.5,8.5,9,9.1,9.9,9.9
Akane,762.7,696.8,751.1,647.5,695.3,701.7,733.6,726.3,782.9,757.5
