 ,0.05
Dirty,0
MINOR-B,2854
MINOR-B-w/o CIC,2854
MINOR-B-w/o IC,2854
MINOR-B-Uni,11390
MINOR-B-w/o SC,100000
MINOR-B-w/o iter.,1
MINOR-U,2081
MINOR-U-w/o CIC,2081
MINOR-U-w/o IC,2081
MINOR-U-w/o SC,7873
MINOR-U-w/o iter.,1
VARX,1
IMR,4566
MTCSC-C,1
MTCSC-A,1
Akane,1
