 ,0.05
Dirty,0
MINOR-B,360.64653
MINOR-B-w/o CIC,575.26918
MINOR-B-w/o IC,992.30466
MINOR-B-Uni,260.39198
MINOR-B-w/o SC,11057.17051
MINOR-B-w/o iter.,2.02024
MINOR-U,95.04943
MINOR-U-w/o CIC,200.44692
MINOR-U-w/o IC,322.83303
MINOR-U-w/o SC,621.26193
MINOR-U-w/o iter.,1.54465
VARX,1.36223
IMR,48.32824
MTCSC-C,2.69785
MTCSC-A,7.22481
Akane,77.7413
