,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1
MINOR-B,1067.11692,594.96728,432.12224,245.54436,204.00845,166.74309,148.89054,123.82215,114.78251,101.96665
MINOR-U,242.52206,94.50805,62.58125,46.4756,35.21209,30.08999,24.75521,21.43255,15.87766,14.38426
VARX,1.12096,0.50792,0.23412,0.19148,0.17295,0.17767,0.16607,0.16426,0.16665,0.1523
IMR,246.37688,78.6008502,49.0791096,34.9500894,27.2347305,21.6200802,15.41082,13.3680497,11.2380098,10.7773201
MTCSC-C,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Akane,152,152,152,152,152,152,152,152,152,152
MTCSC-A,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2
