 ,7000,8000,9000,10000,11000,12000
MINOR-B,260300.398,191709.0123,233096.0342,485930.6782,382122.162,449141.7708
MINOR-U,400267.8368,659499.5022,741589.1188,820993.9113,919757.6774,1013680.978
VARX,31.8117499,33.94441,38.24712,41.4208,46.26014,50.77341
IMR,14277.24183,18378.14891,23864.44431,29027.21283,36772.52071,40876.73745
MTCSC,47.5,53.9,61.2,67.2,73,70.7
Akane,26257.4,33339.8,46626.8,58190.3,72154.8,83868.3
