,7000,8000,9000,10000,11000,12000
MINOR-B,0.344762818,0.332750321,0.333987145,0.321461399,0.315779302,0.311287926
MINOR-U,0.495173531,0.446043522,0.453659569,0.42667814,0.412904937,0.417221964
VARX,0.764991971,0.749659514,0.74416041,0.725019556,0.73087466,0.737377128
IMR,0.608646601,0.614055421,0.595101539,0.570973746,0.575768702,0.562936195
MTCSC,0.817605489,0.806890735,1.171498172,1.124795327,1.100587833,1.130507337
Akane,0.96903039,0.946318838,1.14118583,1.138040365,1.152382648,1.171168228
