 ,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275
MINOR-B,7055.47326,11905.64149,16976.54534,24280.90836,31993.19469,39722.97208,46691.25816,55625.95914,71376.44045,84124.7087
MINOR-U,4162.84188,7307.44422,9876.50384,13008.38331,16080.5661,18965.66412,21875.20823,25211.79863,28493.86311,31907.1649
VARX,1.84573,1.8109,1.88897,1.95126,1.99168,1.9028,1.8573,1.91749,2.01242,1.85176
IMR,5038.77537,7371.86532,8630.30265,9449.35299,11106.85262,12068.84926,13090.33493,14258.94301,15486.80786,16736.66048
MTCSC,6.4,6.7,6.7,6.7,6.8,6.7,6.8,7.4,7.1,7.2
Akane,684.9,687.4,668.1,718.4,738,829,766.2,882.2,850.2,851.6
