,1,2,3,4,5,6
MINOR-B,0.347410051,0.630171367,2.906479549,4.446323339,7.984148852,7.870411024
MINOR-U,0.416957872,0.498269429,0.498970759,0.511276446,0.472016342,0.504988105
VARX,0.711156311,0.681143975,0.667448746,0.662087037,0.658078463,0.653826094
IMR,0.750367139,0.769664467,0.955913071,0.851254579,0.837965635,0.787987512
MTCSC-C,0.724029696,0.724029696,0.724029696,0.724029696,0.724029696,0.724029696
Akane,2.940931839,2.940931839,2.940931839,2.940931839,2.940931839,2.940931839
MTCSC-A,0.634393096,0.634393096,0.634393096,0.634393096,0.634393096,0.634393096
