,1,2,3,4,5,6
MINOR-B,449.46752,828.01969,2394.13206,4821.07299,9675.64715,15182.79019
MINOR-U,72.71081,121.12249,188.52771,1274.566,3706.62649,3156.36934
VARX,2.54319,1.08393,0.7826,0.98609,1.58288,1.74333
IMR,66.57236,117.84661,2571.47635,3919.91707,5284.85159,5616.07289
MTCSC-C,1.1,1.1,1.1,1.1,1.1,1.1
Akane,152,152,152,152,152,152
MTCSC-A,11.2,11.2,11.2,11.2,11.2,11.2
