el,1,5,10,15,20,25,30,35,40,45,50
MINOR-B,31.21835,50.76137,660922.4725,701088.2402,666390.614,610591.8129,507829.3926,374752.8886,535942.1992,532863.7082,518466.0433
MINOR-U,15.30486,37.1461098,834188.0631,970537.8031,968358.6894,965208.9251,980846.3335,967796.0322,1432034.505,1338860.481,997605.5484
VARX,24.95682,47.9663201,36.70287,50.23745,49.30551,53.6949299,49.19989,48.76599,77.18328,55.7512599,44.4625
IMR,6.96549,9.5216994,9.9181597,23594.4954,7846.609438,25451.33269,25401.57682,26015.03728,28262.70631,25538.63745,21448.4016
MTCSC,28.76053,69.1,63.7,62.4,64.4,63.5,64,64.2,62.9,62.6,61.5
Akane,42499.84208,41236.3,53384.1,55027.8,55190.7,53851.9,52622.6,51702.7,51780.8,49932.1,52187.5
