,5,10,15,20,25,30,35,40,45,50
MINOR-B,0.750761325,0.428873811,0.376504745,0.394651019,0.365911655,0.365296678,0.326946537,0.353375095,0.344440576,0.325132573
MINOR-U,0.750761325,0.512112734,0.458789815,0.452660558,0.451705902,0.458778869,0.426454199,0.446922332,0.442016344,0.433457545
VARX,0.750761325,0.747265188,0.737861036,0.735067937,0.743098848,0.744051629,0.727892508,0.743691026,0.720477212,0.721944028
IMR,0.750761325,0.69880557,0.690661263,0.672182211,0.672841245,0.672868423,0.633645088,0.639589179,0.600632514,0.609847981
MTCSC,1.166131815,1.161085254,1.152791686,1.158228478,1.167008548,1.159660047,1.153849328,1.159959697,1.145553616,1.147759857
Akane,1.087599782,1.086234792,1.046142405,1.048040754,1.051862305,1.06630337,1.064829132,1.102474832,1.094009427,1.106657442
