,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000
MINOR-B,246.55965,378.54754,577.46812,787.55877,967.91545,1071.2438,1141.32534,1149.9993,1150.46351,1149.07712,1155.87717,1153.49547
MINOR-U,85.87591,145.3871,212.37806,277.8504,321.25972,343.11359,344.17895,342.78193,340.22335,339.67577,341.80372,341.32493
VARX,0.50792,0.50792,0.50792,0.50792,0.50792,0.50792,0.50792,0.50792,0.50792,0.50792,0.50792,0.50792
IMR,30.95239,52.07364,70.54924,89.26233,101.4985,114.95457,129.68469,140.28177,152.32307,165.94119,183.36059,185.1084
MTCSC-C,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Akane,152,152,152,152,152,152,152,152,152,152,152,152
MTCSC-A,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2
