 ,5000,7500,10000,12500,15000,17500
MINOR-B,0.196246623,0.197387213,0.17031962,0.159557263,0.157832263,0.170674993
MINOR-U,0.19992188,0.225676731,0.196054286,0.185479556,0.182098186,0.17577131
VARX,1.337075065,1.307177516,1.160425656,1.137017874,1.10516385,1.129991991
IMR,2.028377444,1.363242406,1.338084352,1.476357745,1.381640548,1.513192305
MTCSC,0.476948346,0.563336643,0.446714965,0.507115867,0.522863027,0.514887573
Akane,1.369508732,1.359496551,1.205557725,1.182760807,1.151044308,1.204378022
